class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21

right,0.0027183890342712402,0.09381689131259918,0.17428287863731384,0.23529095947742462,0.26498958468437195,0.23904551565647125,0.34471434354782104,0.4137755334377289,0.47261449694633484,0.2129765897989273,0.2993939220905304,0.2488001435995102,0.2090073674917221,0.1785525530576706,0.25345537066459656,0.20441512763500214,0.17162974178791046,0.14272350072860718,0.19805429875850677,0.1626664400100708,0.1331661343574524

right,-0.004511088132858276,0.09950514137744904,0.1821715533733368,0.23986601829528809,0.26997843384742737,0.24071665108203888,0.3435975909233093,0.4134281277656555,0.4691455066204071,0.21525628864765167,0.2997448742389679,0.24930725991725922,0.21307653188705444,0.18147379159927368,0.2560356855392456,0.20390650629997253,0.17073841392993927,0.14679978787899017,0.20093338191509247,0.1635863482952118,0.13489201664924622

right,-0.0036166757345199585,0.10134344547986984,0.18076783418655396,0.2375151813030243,0.2654269337654114,0.23673191666603088,0.3410395383834839,0.41187894344329834,0.4681892395019531,0.21060743927955627,0.2976074814796448,0.24924319982528687,0.2128162384033203,0.17770320177078247,0.25469255447387695,0.20424184203147888,0.16986040771007538,0.1441693902015686,0.1995755434036255,0.16291075944900513,0.13298575580120087

right,-0.009755313396453857,0.09273211658000946,0.17449265718460083,0.23124061524868011,0.2692604660987854,0.23522455990314484,0.3416307866573334,0.4121026396751404,0.46841904520988464,0.20983333885669708,0.29811233282089233,0.2506808042526245,0.21570488810539246,0.17669035494327545,0.2556897699832916,0.2043256163597107,0.17054523527622223,0.14264214038848877,0.199398010969162,0.16149789094924927,0.1321049928665161

right,-0.01037663221359253,0.0935097262263298,0.1723572313785553,0.22762736678123474,0.2652507424354553,0.23103342950344086,0.3388024568557739,0.4094647467136383,0.46534889936447144,0.2043222039937973,0.2953638434410095,0.24618248641490936,0.20953868329524994,0.17136883735656738,0.2524586617946625,0.20089051127433777,0.16625568270683289,0.1376713663339615,0.19643142819404602,0.15924708545207977,0.12911145389080048

right,-0.017181873321533203,0.08831512928009033,0.1681026667356491,0.22535602748394012,0.26053333282470703,0.22821886837482452,0.33479365706443787,0.4066019356250763,0.4627677798271179,0.20085442066192627,0.2921309769153595,0.24315021932125092,0.20613925158977509,0.16697825491428375,0.2468183934688568,0.1938481628894806,0.15892982482910156,0.13244539499282837,0.19169571995735168,0.15433165431022644,0.12453661113977432

right,-0.017064660787582397,0.0880500003695488,0.16769595444202423,0.22596652805805206,0.25786086916923523,0.230546236038208,0.3350696861743927,0.4061025381088257,0.4617086350917816,0.20215195417404175,0.2893436849117279,0.2383778691291809,0.20141269266605377,0.16556724905967712,0.24335159361362457,0.19086968898773193,0.1567375361919403,0.12778952717781067,0.18659457564353943,0.15098561346530914,0.12225597351789474

